# Ledger — Compliance 2026-08-02 finish-work (amplifier-app-tui)
# Source: "Amplifier TUI Feedback — Consolidated Implementation Brief, Compliance Update 2026-08-02"
# Scope: every item whose Compliance line reads Partial or Open, excluding D6 (PR #190).
# All PRs branch from main@4767699, full gate green, awaiting user merge approval.
#
# item	branch	pr	base	status
B2	compliance/b2-alias-fixture	191	main	pr_ready
D3	compliance/d3-clear-transcript	192	main	pr_ready
S5	compliance/s5-unsupported-block	193	main	pr_ready
D2	compliance/d2-composer-separation	194	main	pr_ready
S6	compliance/s6-focus-back	195	main	pr_ready
S7	compliance/s7-plan-expand	196	main	pr_ready
--	chore/hermetic-init-cli-test	197	main	pr_ready
S4	compliance/s4-run-preflight	198	main	pr_ready
S2	compliance/s2-session-table	199	main	pr_ready
B3	compliance/b3-owner-gated-loop	200	main	pr_ready
B9	compliance/b9-pinned-deps	201	main	pr_ready
B7	compliance/b7-attention-record	202	main	pr_ready
B6	compliance/b6-session-control	203	main	pr_ready
S3	compliance/s3-resume-syntax	204	main	pr_ready
D4	compliance/d4-footer-consolidation	205	compliance/d2-composer-separation	pr_ready_stacked
D7	compliance/d7-evidence-panel	206	compliance/s6-focus-back	pr_ready_stacked
B8	compliance/b8-voice-design	207	compliance/b6-session-control	pr_ready_stacked
#
# HUMAN GATES — blocked pending your decision:
D6	fix/agent-lane-chat-dedup	190	main	GATE: your merge approval
B1	-	-	-	GATE: blocked on #190 merge
D5	-	-	-	GATE: blocked on #190 merge
D1	-	-	-	GATE: executable rename (amplifier vs amplifier-tui)
B5	-	-	-	GATE: adoption stage owners + usage windows
#
# D7probe RESULT: David's "dead Enter-to-expand" report is STALE. Handlers exist and
# work on main (landed #157, pre-review). D7 scope narrowed to side panel + fallbacks
# + focus/scroll restore. Confirmed independently by the orchestrator and the D7 agent.
